BF_replication,BF_uniform,BF_BUJ,True_prob,data_length_at_stop_BF
0.002746138,0.014630675,0.00448651,0.507214278,37836
1.69E-56,6.71E-55,2.40E-55,0.545369816,30060
1.12E-10,1.75E-09,4.32E-10,0.520494467,30060
1.92E-09,1.99E-08,6.84E-09,0.517043772,30060
9.49E-11,1.51E-09,3.68E-10,0.516338313,30060
2.81E-27,1.01E-25,1.51E-26,0.530584316,30060
5.42E-14,1.06E-12,2.45E-13,0.519230882,30060
3.27E-07,2.94E-06,9.78E-07,0.516858498,30060
1.27E-29,6.19E-28,2.17E-28,0.533086078,30060
1.66E-64,1.60E-63,3.13E-64,0.542982775,30060
1.48E-12,3.35E-11,1.16E-11,0.517041767,30060
1.67E-27,6.34E-26,9.00E-27,0.535614528,30060
1.44E-10,2.17E-09,5.51E-10,0.518999247,30060
2.86E-48,2.83E-47,1.01E-47,0.543515088,30060
7.09E-20,1.07E-18,3.71E-19,0.522814543,30060
0.000925421,0.005939171,0.001591211,0.514927903,37836
104.451249,136.7470833,47.13496202,0.503594845,30060
7.18E-14,1.44E-12,3.23E-13,0.522644701,30060
8.65E-13,1.96E-11,3.71E-12,0.525167834,30060
1.51E-18,2.22E-17,7.73E-18,0.525733308,30060
8.37E-16,1.22E-14,4.02E-15,0.528233063,30060
4.76E-21,7.27E-20,2.53E-20,0.53197737,30060
1.75E-05,0.000129164,4.37E-05,0.50900997,30060
3.50E-32,1.09E-30,1.81E-31,0.530158532,30060
9.07E-08,8.41E-07,2.85E-07,0.517540432,30060
2.39E-19,3.56E-18,1.24E-18,0.527738074,30060
4.33E-34,8.12E-33,2.17E-33,0.535789179,30060
4.36E-49,4.37E-48,1.50E-48,0.546702857,30060
4.57E-40,7.34E-39,2.03E-39,0.541891786,30060
7.28E-15,1.18E-13,3.39E-14,0.526998013,30060
1.12E-25,2.66E-24,6.08E-25,0.536511986,30060
5.73E-11,9.78E-10,2.25E-10,0.518021256,30060
2.30E-32,6.83E-31,1.18E-31,0.533305884,30060
72.72340272,101.7590071,34.92869226,0.50576626,30060
2.41E-48,2.38E-47,8.48E-48,0.540844339,30060
1.90E-29,9.27E-28,3.25E-28,0.531251362,30060
1.23E-16,1.73E-15,6.04E-16,0.524030953,30060
4.63E-32,1.49E-30,2.39E-31,0.534009883,30060
3.54E-67,1.79E-66,5.94E-67,0.554338328,30060
9.88E-07,8.56E-06,2.82E-06,0.520276015,30060
9.66E-31,4.19E-29,1.48E-29,0.527054896,30060
0.000270817,0.001938753,0.000581335,0.520442039,30060
1.51E-09,1.65E-08,5.43E-09,0.522555902,30060
0.005559301,0.01961451,0.007598433,0.510189347,45612
1.91E-14,3.40E-13,8.75E-14,0.524203067,30060
2.86E-40,4.61E-39,1.27E-39,0.535331108,30060
7.41E-24,1.31E-22,4.00E-23,0.533409492,30060
9.37E-10,1.09E-08,3.41E-09,0.518780261,30060
2.78E-23,4.72E-22,1.50E-22,0.538887938,30060
5.59E-42,8.54E-41,2.37E-41,0.538998007,30060
2.12E-12,4.77E-11,8.96E-12,0.520497883,30060
